Rank,Species,wtd-rf,rfpc
1,Blue-gray Tanager,0.40625,100.0
2,Green-and-gold Tanager,0.40625,100.0
3,Southern House Wren,0.375,92.3076923076923
4,Blue-and-white Swallow,0.34375,84.61538461538461
5,Bananaquit,0.34375,84.61538461538461
6,Tropical Kingbird,0.3125,76.92307692307693
7,Silver-beaked Tanager,0.3125,76.92307692307693
8,Glittering-throated Emerald,0.3125,76.92307692307693
9,Violaceous Jay,0.3125,76.92307692307693
10,Black Vulture,0.28125,69.23076923076923
11,Blue-necked Tanager,0.28125,69.23076923076923
12,Russet-backed Oropendola,0.250234375,61.59615384615385
13,Bay-headed Tanager,0.25,61.53846153846154
14,Paradise Tanager,0.25,61.53846153846154
15,Green Honeycreeper,0.21912500000000001,53.938461538461546
16,Palm Tanager,0.21884375,53.86923076923077
17,White-banded Swallow,0.21875,53.84615384615385
18,Orange-bellied Euphonia,0.21875,53.84615384615385
19,Black-faced Dacnis,0.21875,53.84615384615385
20,Scaly-breasted Wren,0.21875,53.84615384615385
21,Yellow-rumped Cacique,0.187734375,46.21153846153847
22,White-necked Thrush,0.1875,46.15384615384615
23,Purplish Jacamar,0.1875,46.15384615384615
24,Peruvian Warbling-Antbird,0.1875,46.15384615384615
25,Blue-headed Parrot,0.1875,46.15384615384615
26,Black Phoebe,0.156484375,38.519230769230774
27,Roadside Hawk,0.15634375,38.48461538461538
28,Amethyst Woodstar,0.15625,38.46153846153847
29,Masked Tanager,0.15625,38.46153846153847
30,Chestnut-bellied Seedeater,0.15625,38.46153846153847
31,Southern Rough-winged Swallow,0.15625,38.46153846153847
32,Long-tailed Tyrant,0.15625,38.46153846153847
33,Band-bellied Owl,0.15625,38.46153846153847
34,Olivaceous Woodcreeper,0.15625,38.46153846153847
35,Yellow-browed Sparrow,0.125234375,30.82692307692308
36,Turkey Vulture,0.125234375,30.82692307692308
37,Ornate Flycatcher,0.12509375,30.79230769230769
38,Spotted Tanager,0.125,30.76923076923077
39,Common Squirrel-Cuckoo,0.125,30.76923076923077
40,Plumbeous Kite,0.125,30.76923076923077
41,White-lined Tanager,0.125,30.76923076923077
42,Slaty-capped Flycatcher,0.125,30.76923076923077
43,Chestnut-eared Aracari,0.125,30.76923076923077
44,Slaty-capped Shrike-Vireo,0.125,30.76923076923077
45,Short-crested Flycatcher,0.125,30.76923076923077
46,Yellow-backed Tanager,0.125,30.76923076923077
47,Amazon Kingfisher,0.094125,23.16923076923077
48,Common Pauraque,0.094125,23.16923076923077
49,Yellow-bellied Dacnis,0.09384375,23.1
50,Social Flycatcher,0.09375,23.076923076923077
51,Flame-crested Tanager,0.09375,23.076923076923077
52,Black-capped Donacobius,0.09375,23.076923076923077
53,Thick-billed Euphonia,0.09375,23.076923076923077
54,Black Caracara,0.09375,23.076923076923077
55,Smooth-billed Ani,0.09375,23.076923076923077
56,Uniform Crake,0.09375,23.076923076923077
57,Black-billed Thrush,0.09375,23.076923076923077
58,Amazonian Violaceous Trogon,0.09375,23.076923076923077
59,Pale-edged Flycatcher,0.09375,23.076923076923077
60,Lined Antshrike,0.09375,23.076923076923077
61,Yellow-bellied Tanager,0.09375,23.076923076923077
62,Masked Tityra,0.09375,23.076923076923077
63,Plumbeous Pigeon,0.063109375,15.534615384615384
64,Common Tody-Flycatcher,0.06273437500000001,15.442307692307693
65,Channel-billed Toucan,0.06273437500000001,15.442307692307693
66,Red-crested Finch,0.06273437500000001,15.442307692307693
67,Speckled Chachalaca,0.06273437500000001,15.442307692307693
68,White-flanked Antwren,0.06259375,15.407692307692308
69,Lafresnaye's Piculet,0.06259375,15.407692307692308
70,Fiery-throated Fruiteater,0.06259375,15.407692307692308
71,Duida Woodcreeper,0.06259375,15.407692307692308
72,Ocellated Woodcreeper,0.06259375,15.407692307692308
73,Collared Trogon,0.06259375,15.407692307692308
74,Orange-throated Tanager,0.06259375,15.407692307692308
75,Blue-black Grassquit,0.0625,15.384615384615385
76,Gray-breasted Martin,0.0625,15.384615384615385
77,White-eyed Parakeet,0.0625,15.384615384615385
78,Greater Yellow-headed Vulture,0.0625,15.384615384615385
79,Lemon-throated Barbet,0.0625,15.384615384615385
80,Little Tinamou,0.0625,15.384615384615385
81,Orange-eared Tanager,0.0625,15.384615384615385
82,White-winged Becard,0.0625,15.384615384615385
83,Chivi Vireo,0.0625,15.384615384615385
84,Chestnut-bellied Seed-Finch,0.0625,15.384615384615385
85,Ruddy Pigeon,0.0625,15.384615384615385
86,Wedge-billed Woodcreeper,0.0625,15.384615384615385
87,Dusky-capped Greenlet,0.0625,15.384615384615385
