Rank,Species,wtd-rf,rfpc
1,Canada Goose,0.8279192349429324,100.0
2,Western Grebe,0.7673397841088675,92.68292747924373
3,American White Pelican,0.7471466222124672,90.2439019023356
4,Double-crested Cormorant,0.7322212464442492,88.44114444263641
5,Mallard,0.689201053906936,83.24496216764935
6,Western Meadowlark,0.6496927149253733,78.4729581708723
7,Ruddy Duck,0.6400351162423178,77.30646773612341
8,Ring-billed Gull,0.6075504852502195,73.38282040181096
9,Killdeer,0.5689200985074626,68.71685962782078
10,American Coot,0.5636523264266902,68.0805932073244
11,Barn Swallow,0.5188762127304654,62.67232247191732
12,Eared Grebe,0.49429324073748904,59.70307487439401
13,California Gull,0.47585601079894646,57.476139062253665
14,Red-winged Blackbird,0.4653204540825285,56.20360470482396
15,Great Blue Heron,0.46532044925373134,56.20360412157901
16,Redhead,0.45302896865671644,54.71898097499127
17,Gadwall,0.42844601553994727,51.749735657425525
18,Northern Shoveler,0.402107105618964,48.56839757403158
19,American Avocet,0.39157155162423185,47.29586354533996
20,Western Kingbird,0.38893764661984204,46.97772804452974
21,Cliff Swallow,0.3494293219490781,42.20572577627863
22,Blue-winged Teal,0.2914837595258999,35.20678675209081
23,Clark's Grebe,0.2730465259877085,32.97985050516785
24,Say's Phoebe,0.2704126467076383,32.6617181114626
25,Spotted Sandpiper,0.26514487287093946,32.025451478877116
26,Mourning Dove,0.2581211602282704,31.17709425437645
27,Pied-billed Grebe,0.2554872677787533,30.858960270003124
28,Snowy Egret,0.253799818261633,30.65514213824579
29,Green-winged Teal,0.22124671633011414,26.723224560106328
30,Red-tailed Hawk,0.22036875460930638,26.617180192038436
31,American Wigeon,0.21510096215978927,25.98091131130876
32,Horned Lark,0.20632132818261634,24.920465605179213
33,Vesper Sparrow,0.1992976236172081,24.072109356288294
34,Baird's Sandpiper,0.19407726356453028,23.44156958473224
35,Common Grackle,0.18261634723441617,22.057265917611364
36,Bald Eagle,0.17647059683933275,21.314953124805307
37,White-faced Ibis,0.17032483713784022,20.57263920792715
38,Cinnamon Teal,0.1606672453906936,19.406149610930132
39,Turkey Vulture,0.15539947769973658,18.769883720656413
40,Bank Swallow,0.14925374723441617,18.02757333506137
41,Lark Sparrow,0.1457418770851624,17.60339305260956
